,Title,Popularity,Drama,Comedy,Thriller,Action,Romance,Adventure,Science Fiction,Horror,Family,Fantasy,Mystery,Animation,Music,War,Documentary,Western,Foreign,Quirky,Cerebral,Fast-Paced,Epic,Historical,Heartwarming,Creative,Independent,Tense,Realistic,Funny,New Release,Critically Acclaimed
2582,The Place Beyond the Pines,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
2583,The November Man,45,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2584,Eye of the Beholder,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,2.0,1.0,-1.0,0.0,0.0
2585,The Hurt Locker,47,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,2.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2586,Firestarter,11,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2587,Killing Them Softly,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,2.0,-2.0,0.0,-1.0,0.0,0.0,3.0,1.0,-1.0,1.0,0.25
2588,A Most Wanted Man,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2589,Freddy Got Fingered,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2590,VeggieTales: The Pirates Who Don't Do Anything,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2591,U2 3D,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2592,Highlander: Endgame,11,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2593,Idlewild,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2594,One Day,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2595,Whip It,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0
2596,Knockaround Guys,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2597,Confidence,9,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2598,The Muse,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2599,De-Lovely,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,-2.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
2600,New York Stories,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.5,-0.5,-1.5,0.5,0.0,0.0,0.5,1.0,1.5,0.25,-0.5,1.0
2601,Barney's Great Adventure,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2602,The Man with the Iron Fists,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,-2.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0
2603,Home Fries,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2604,Here On Earth,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2605,Brazil,41,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,0.0,1.0,-3.0,-2.0,0.0,0.0,0.0,-1.75,0.0,0.0,1.25
2606,Raise Your Voice,10,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2607,The Big Lebowski,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,-0.75,0.0,1.0
2608,Black Snake Moan,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.25,-1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
2609,Dark Blue,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,-3.0,1.0,0.0,2.0,3.0,-1.0,2.0,1.0,0.0,1.0
2610,A Mighty Heart,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,-1.0,-1.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0
2611,Whatever It Takes,8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2612,Boat Trip,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2613,The Importance of Being Earnest,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2614,The Love Letter,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2615,Hoot,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
